	research_title	research_subject
2057	식도절제술이 시행된 원발성 상부 식도 소세포암 1예 = A Case of Primary Upper Esophageal Small Cell Cancer underwent esophagectomy	primary small cell carcinoma ;  upper esophagus ;  esophagectomy
2058	항결핵제에 의한 약물 유발성 과민 증후군으로 추정되는 2예 = Short Report : Two Cases of Antituberculosis Drug-induced Hypersensitivity Syndrome	Human herpes virus-6 ;  Antituberculosis drug ;  Drug-induced hypersensitivity syndrome
2059	두피 전이를 동반한 자궁내막선암 = Short Report : Scalp Metastasis in a Patient with Endometrial Adenocarcinoma	Endometrial adenocarcinoma ;  Metastasis ;  Scalp
2060	P-63 Efficacy and safety of high-dose budesonide/formoterol for bronchiolitis obliterans after HSCT = P-63 Efficacy and safety of high-dose budesonide/formoterol for bronchiolitis obliterans after HSCT	폐쇄성 세기관지염 ;  조혈모세포이식 ;  심비코트 ;  Bronchiolitis obliterans ;  budesonide/formoterol(symbicort) ;  HSCT
2061	다발성 조기 위암과 동반된 심낭종성 위염 2예 = Gastritis Cystica Profunda Accompanied by Multiple Early Gastric Cancers	Gastritis cystica profunda ;  Gastric cancer ;  Dysplasia
2062	국소 및 전신 레티노이드 병합요법으로 호전된 원발성 원형 잔비늘증 = Pityriasis Rotunda Treated with Combination of Topical and Oral Retinoid	Pityriasis rotunda ;  Retinoid
2063	P-ANCA 양성 항사구체기저막 항체 질환 1예 = A Case of P-ANCA-Positive Anti-Glomerular Basement Membrane Antibody Disease	Anti-glomerular basement membrane antibody disease ;  ANCA ;  Glomerulonephritis
2064	쇼그렌 증후군에 동반된 1형 신세뇨관 산증 및 골연화증 1예 = A Case of Type 1 Renal Tubular Acidosis and Osteomalacia in a Patient with Sjogren`s Syndrome	Sjogren`s syndrome ;  renal tubular acidosis ;  Osteomalacia
2065	경부 임파선을 침범한 랑게르한스 세포 조직구증 1예 = A case of Langerhans cell histiocytosis involving the cervical lymph node	랑게르한스 세포 조직구증 ;  임파선염 ;  초음파 ;  Langerhans cell histiocytosis ;  Lymphadenopathy ;  Ultrasonography
2066	이하선 종양으로 오인된 이하선 결핵 1예 = A Case of Parotid Tuberculosis Mimicking Benign Tumor of Parotid Gland	Parotid gland ;  Tuberculosis
2067	Case Report : A case of Terminal Deletion of Chromosome 10P = Case Report : A case of Terminal Deletion of Chromosome 10P	10p Deletion Syndrome (Partial) ;  Molecular cytogenetic techniques ;  BAC array CGH ;  Fluorescence In situ hybridization ;  Prenatal ultrasonography
2068	베게너 육아종증 환자에서 발생한 피질 정맥 혈전증 1예 = A Case of Cortical Vein Thrombosis in Wegener`s Granulomatosis	Cortical vein thrombosis ;  Wegener`s granulomatosis
2069	다발성 대칭성 지방종증 -2예 보고- = Multiple Symmetric Lipomatosis (Cervical Lipomatosis) -Two cases report-	Multiple symmetric lipomatosis ;  Cervical symmetric lipomatosis ;  Adrenergic stimulated lipolysis ;  Peripheral neuropathy
2070	난치성 궤양성 대장염에 대한 Metronidazole의 치료효과 = Therapeutic Effect of Metronidazole for Intractable Ulcerative Colitis	Ulcerative Colitis ;  Metronidazole
2071	How to release shallow nostril stenosis after pediatric trauma?	child ;  nasal vestibule ;  nostril stenosis ;  trauma
2072	Anti-hepatofibrogenic Effect of Turnip Water Extract on Thioacetamide-induced Liver Fibrosis	Turnip water extract ;  thioacetamide(TAA) ;  hepatofibrogenic animal model ;  nodular formation
2073	Recurrent focal myofasciitis of Behçet syndrome mimics infectious myofasciitis: a case report = Recurrent focal myofasciitis of Behçet syndrome mimics infectious myofasciitis: a case report	Case reports ;  Behcet syndrome ;  Myositis ;  Myalgia ;  Vasculitis
2074	측두골에 발생한 섬유성 이형성증 1례 = A Case of Fibrous Dysplasia of the Temporal Bone	Fibrous dysplasia ;  Temporal bone
2075	Arthroscopic treatment of heterotopic ossification of the hip after hip arthroscopy	Hip ;  Heterotopic ossification ;  Arthroscopy
2076	침술 후 발생한 편평태선 = A Case of Lichen Planus Triggered by Acupuncture침술 후 발생한 편평태선	Acupuncture ;  Lichen planus ;  Korean medicine
2077	A Case of Linear Hypertrophic Lichen Planus in a Pediatric Patient = A Case of Linear Hypertrophic Lichen Planus in a Pediatric Patient	Lichen planus ;  Pediatric
2078	Epstein-Barr Virus Positive Diffuse Large B-Cell Lymphoma with Epidermotropism = Epstein-Barr Virus Positive Diffuse Large B-Cell Lymphoma with Epidermotropism	Cutaneous B-cell lymphoma ;  Epidermotropism ;  Epstein-Barr virus
2079	다발성 뇌수막종  :  1예 보고 Case Report = Multiple Meningiomas	Multiple meningioma ;  CT scan ;  Von Recklinghausen's disease
2080	소뇌에 발생한 Nocardiosis  :  증례 보고 Case Report = Cerebellar Nocardiosis	Cerebellar nocardiosis ;  Continous external drainage ;  Sulfonamide
2081	Case report : A Patient with Eosinophilic Gastroenteritis Presenting with Acute Pancreatitis and Ascites = Case report : A Patient with Eosinophilic Gastroenteritis Presenting with Acute Pancreatitis and Ascites	Eosinophilic gastroenteritis ;  Pancreatitis ;  Eosino-philia ;  Ascites
2082	종설 : Extranodal NK/T-cell Lymphoma (ENKL)의 최신지견 = Review : Recent updates on extranodal NK/T-cell Lymphoma	Extranodal NK/T-cell Lymphoma ;  NK/T-세포 림프종
2083	폐 림프관확장증 3예 보고 = Congenital Pulmonary Lymphangiectasis -Three cases Report-	Lymphangiectasis ;  cardiovascular malformation
2084	Stevens-Johnson Syndrome Induced by Carbamazepine Treatment in a Patient Who Previously Had Carbamazepine Induced Pruritus- A Case Report- = Stevens-Johnson Syndrome Induced by Carbamazepine Treatment in a Patient Who Previously Had Carbamazepine Induced Pruritus- A Case Report-	carbamazepine ;  drug hypersensitivity reaction ;  Stevens-Johnson syndrome ;  trigerminal neuralgia
2085	뇌실질내에 발생한 Sparganum증  :  Case Report = Intracerebral Sparganosis	Sparganosis ;  Seizure
2086	색소침착가려움발진 27예의 임상 및 병리조직학적 고찰 = A Clinical and Histopathological Study of 27 Cases of Prurigo Pigmentosa색소침착가려움발진 27예의 임상 및 병리조직학적 고찰	Clinical ;  Histopathological ;  Neutrophil ;  Prurigo pigmentosa
2087	류마티스성 심장판막질환, 우심방혈전 및 대동맥 협착증과 합병된 만성 혈전색전성 폐동맥고혈압 1예 = A Case of Chronic Thromboembolic Pulmonary Hypertension Arising from Right Atrial Thrombi Underlying Rheumatic Valvular Heart Disease and Thoracic Aorta Atherosclerotic Stenosis	Pulmonary thromboembolism ;  Rheumatic valvular heart disease ;  Right atrial thrombi ;  Pulmonary hypertension
2088	경피골막염 환자의 혈청이 섬유모세포 증식에 미치는 영향 = An Effect of Pachydermoperiostosis Patients ` Serum onthe Proliferation of Fibroblasts경피골막염 환자의 혈청이 섬유모세포 증식에 미치는 영향	Pachyderrnoperiostosis ;  Serum factor ;  Fibroblasts
2089	[P305] A case of angiomatoid fibrous histiocytoma presenting as subcutaneous nodule in a 4-year-old girl = [P305] A case of angiomatoid fibrous histiocytoma presenting as subcutaneous nodule in a 4-year-old girl	Hemangioma ;  Fibrous histiocytic tumor ;  Children
2090	전신성 홍반성 루프스에 동반된 횡단성 척수염 1례 = A Case of Transverse Myelitis Associated with Systemic Lupus Erythematosus	Systemic lupus erythematosus ;  Transverse myelitis
2091	피부 아스페르길루스증 = Cutaneous Aspergillosis	Cutaneous aspergillosis ;  Aspergillus
2092	혈액투석 환자에서 대퇴신경범증으로 발현된 장골근 및 요근 농양 1예 = Clinical Significance of C-reactive Protein in Patients with End-stage Renal Disease	lliopsoas abscess ;  Femoral neuropathy ;  Hemodialysis
2093	성인의 장중첩증에서 복부전산화단층촬영술의 유용성 = Abdominal CT Scanning in Adult Intussusception	Abdominal CT ;  Adult intussusception
2094	측뇌실 뇌낭충증 = Cysticercosis in the Lateral Ventricle	Cysticercosis ;  Hydrocephalus ;  V-P Shunt ;  Encysted Larvae of lateral ventricle
2095	여성 Ullrich-Noonan 증후군의 익상경과 익상액와 교정의 치험례 = THE CORRECTION OF THE WEBBED NECK AND AXILLAE IN FEMALE ULLRICH NOONAN SYNDROME(=XX TURNER PHENOTYPE)	Ullrich-noonan syndrome ;  Congenital anomaly
2096	경안면 괴사성 근막염 : 증례보고 = Cervicofacial necrotizing fasciitis : case report	Necrotizing fasciitis ;  Fascia ;  Gangrene ;  Infection
2097	횡정맥동 혈전증과 골막하농양을 동반한 원발성 결핵성 중이염 1예 = A Case of Primary Tuberculous Otitis Media with Lateral Sinus Thrombosis and Subperiosteal Abscess	Tuberculous otitis media ;  Lateral sinus thrombosis ;  Subperiosteal abscess
2098	증례 : 호흡기 ; GM-CSF 흡입치료로 호전된 폐포단백증 1예 = Case Reports : Pulmonology ; A Case of Pulmonary Alveolar Proteinosis Improved with Inhaled Granulocyte-Macrophage Colony-Stimulating Factor (GM-CSF)	폐포단백증 ;  GM-CSF ;  흡입치료 ;  Pulmonary alveolar proteinosis ;  Granulocyte-macrophage colony-stimulating factor ;  Administration ;  inhalation
2099	BRIEF COMMUNICATION : Solitary Rectal Ulcer Syndrome in Children: A Report of Six Cases = BRIEF COMMUNICATION : Solitary Rectal Ulcer Syndrome in Children: A Report of Six Cases	Child ;  Rectal bleeding ;  Solitary rectal ulcer
2100	소아의 미분화(태생) 간육종 = Undifferentiated (Embryonal) Sarcoma of the Liver in Children	Undifferentiated (embryonal) sarcoma ;  Children
2101	미만성 갑상선중독증(그레이브씨병)의 갑상선 아전절제술 후 갑상선 기능의 변화에 대한 연구 = The Changes of Thyroid Function after Subtotal Thyroidectomy in Diffuse Toxic Goiter(Graves' Disease)	갑상선 ;  그레이브씨병 ;  갑상선 아전절제술 ;  Thyroid ;  Graves' disease ;  Subtotal thyroidectomy
2102	아포크린 선암 1예 = A Case of Apocrine Gland Carcinoma	Apocrine gland carcinoma ;  PAS diastase ;  GCDFP-15
2103	거대세포바이러스에 의한 AIDS cholangiopathy 1예 = A Case of AIDS Cholangiopathy Caused by Cytomegalovirus	acquired immunodeficiency syndrome ;  biliary tract diseases ;  cytomegalovirus
2104	수술 후 확인된 췌장샘꽈리세포암 1예 = A Case of Pancreatic Acinar Cell Carcinoma Diagnosed after Operation	Pancreatic tumor ;  Acinar cell carcinoma
2105	신장 이식 후 발생한 침습성 아스페르길루스 부비동염을 수술과 Voriconazole로 치료한 1예 = A Case of Invasive Aspergillosis of the Paranasal Sinuses Treated with Surgery and Voriconazole after Kidney Transplantation	Aspergillosis ;  Kidney transplantation ;  Sinusitis ;  Voriconazole
2106	중추신경계 합병증을 동반한 삼일열 말라리아 1례 = A Case of Plasmodium vivax Malaria with Cerebral Complication	Plasmodium vivax ;  Cerebral malaria ;  Korea
2107	다발성 낭종을 형성한 역형성 췌장암 1예 = A Case of Multifocal Cyst Forming Anaplastic Carcinoma of the Pancreas	Anaplastic carcinoma ;  Pancreas cyst ;  Multifocal
2108	급속 진행된 상악의 NK/T-세포 악성 임파종 = RAPID SPREAD NK/T-CELL MALIGNANT LYMPHOMA OF MAXILLA	NK/TC malignant lymphomas ;  Immunohistochemical stain
2109	디클로로아세트산으로 치료한 유륜에 발생한 피지샘증식증 1예 = Short Report : A Case of Areolar Sebaceous Hyperplasia Treated with Dichloroacetic Acid	Areola ;  Dichloroacetic acid ;  Sebaceous hyperplasia
2110	A case of autoimmune enteropathy with CTLA4 haploinsufficiency = A case of autoimmune enteropathy with CTLA4 haploinsufficiency	Autoimmune enteropathy ;  CTLA4 ;  Regulatory T cell ;  6-Mercaptopurine ;  Case reports
2111	A Case of Pancytopenia Due to Copper Deficiency in Patient receiving Long-term TPN = A Case of Pancytopenia Due to Copper Deficiency in Patient receiving Long-term TPN	Pancytopenia ;  Copper ;  Parenteral Nutrition ;  Total
2112	[P039] Sclerema neonatorum in a full-term infant showing favorable prognosis = [P039] Sclerema neonatorum in a full-term infant showing favorable prognosis	Sclerema neonatorum ;  Good pronosis
2113	[P079] Eosinophilic annular erythema associated with Churg-Strauss syndrome = [P079] Eosinophilic annular erythema associated with Churg-Strauss syndrome	Churg-Strauss syndrome ;  Eosinophilic Annular Erythema
2114	유방의 악성 엽상종의 수술 후 재발의 위험인자 = Risk Factors for Recurrence After Surgical Treatment of a Malignant Phyllodes Tumor of the Breast	악성 엽상종 ;  유방 ;  재발 ;  위험요인 ;  malignant phyllodes tumor ;  breast ;  recurrence ;  risk factors
2115	Case Report : Chromoblastomycosis Caused by Phialophora richardsiae = Case Report : Chromoblastomycosis Caused by Phialophora richardsiae	Chromoblastomycosis ;  Phialophora richardsiae
2116	Deep vein thrombosis caused by malignant afferent loop obstruction = Deep vein thrombosis caused by malignant afferent loop obstruction	Afferent loop obstruction ;  Stomach cancer ;  Venous thrombosis ;  Interventional radiography
2117	Metformin-associated lactic acidosis (MALA) in a peritoneal dialysis patient	Metformin ;  Lactic acidosis ;  Peritoneal dialysis ;  CRRT
2118	급성 췌장염과 동반되어 발생한 신경색 = Case Report : A Case of Renal Infarct Developed in Acute Pancreatitis	Renal artery obstruction ;  Pancreatitis
2119	문맥하대정맥문합술 및 하대정맥-우심방우회술을 통한 Budd-Chiari 증후군의 치료 = Treatment of Budd-Chiari Syndrome by Portacaval & Cavo-Atrial Bypass	Budd-Chiari syndrome ;  Cavo-Atrial bypass
2120	해외여행 후 발생한 급성장염의 원인 병원체 분석 = Characteristics of Enteric Pathogens Isolated from Acute Enteritis Patients with Overseas Travel	Traveler’s diarrhea ;  enteric bacterial pathogen ;  gastroenteritis
2121	Maxillo-mandibular Contouring Surgery in Monostotic Fibrous Dysplasia Patients using Simulation Surgery	3D RP ;  Simulation surgery ;  Fibrous dysplasia ;  Contouring surgery ;  Jaw bone
2122	A pediatric case of relapsed pulmonary alveolar proteinosis despite successful whole lung lavage	Child ;  Pulmonary alveolar proteinosis ;  Recurrence ;  Therapeutic irrigation ;  Video-assisted surgery
2123	A Case of Constitutional Trisomy 8 Mosaicism	Constitutional trisomy 8 ;  Mosaicism ;  Agenesis of the corpus callosum
2124	혈액투석 환자에서 발생한 폐렴의 임상적 특성에 관한 연구 = Clinical Characteristics of Pneumonia Occurred in Hemodialysis Patients	Pneumonia ;  Hemodialysis ;  Bacteremia
2125	급성 기종성 신우신염의 예후인자 및 치료 = A Review of Acute Emphysematous Pyelonephritis	Emphysematous pyelonephritis ;  Conservative therapy ;  Nephrectomy
2126	초음파 기관지 내시경으로 진단한 기관기관지 골연골형성증 1예 = A Case of Tracheobronchopathia Osteochondroplastica Diagnosed by Endobronchial Ultrasonography	Endobronchial Ultrasonography ;  Tracheobronchopathia Osteochondroplastica
2127	쯔쯔가무시병 환자에게 발생한 급성신부전증의 임상적 고찰 = A Clinical Study of Tsutsugamushi Disease Associated with Acute Renal Failure쯔쯔가무시병 환자에게 발생한 급성신부전증의 임상적 고찰	Tsutsugamushi ;  Complication ;  ARF
2128	자궁체부의 원발성 악성 림프종 = A Case of Primary Malignant Lymphoma of The Uterus	림프종 ;  자궁체부암 ;  Lymphoma ;  Uterine cancer
2129	일측 특발성 안면마비를 주소로 내원한 헤르페스 뇌염 환자 1예 = A case of herpes encephalitis presenting unilateral facial palsy	Dizziness ;  Facial palsy ;  Hearing impairment ;  Herpes simplex encephalitis
2130	양측 시신경염을 동반한 급성 파종성 뇌척수염 1예	Encephalomyelitis ;  Acute disseminated ;  Optic neuritis
2131	폐고혈압 ; 폐동맥고혈압의 병인 및 병태생리 = Special Review : Pathogenesis and pathophysiology of pulmonary arterial hypertension	폐동맥고혈압 ;  병인 ;  병태생리 ;  Pulmonary arterial hypertension ;  Pathogenesis ;  Pathophysiology
2132	급성췌장염을 동반한 특발성 양측성 횡격막 마비 1례 = Idiopathic Bilateral Diaphragmatic Paralysis Combined with Acute Pancreatitis	mechanical ventilation ;  idiopathic bilateral diaphragmatic paralysis
2133	괴사를 동반한 특발성 위확장증 = Idiopathic Acute Gastric Dilatation with Ischemic Necrosis	Total gastrectomy ;  Acute gastric dilatation ;  Ischemic necrosis
2134	황색인대골화에 의한 흉추부 척수증 3례 = Three Cases of Thoracic Myelopathy due to Ligamentum Flavum Ossification	Ossification of ligamentum flavum ;  Myelopathy
2135	Risk Factors for Post-Thyroidectomy Bleeding: an Analysis of 19,657 Cases from a Single Institution	Thyroidectomy ;  Post-thyroidectomy bleeding ;  Risk factors for post-thyroidectomy bleeding
2136	Biliary Obstruction Caused by Non-Hodgkin Lymphoma Involvement: A Case Report	Lymphoma ;  Biliary obstruction ;  Obstructive jaundice ;  DLBCL ;  Diffuse large B cell lymphoma
2137	Renal Impairment Associated with Weekly Cisplatin and Gemcitabine Combination Therapy for Treatment of Biliary Tract Cancer	Biliary tract cancer ;  Weekly cisplatin plus gemcitabine ;  Chemotherapy induced renal impairment ;  Second line therapy
2138	Primary intracranial leiomyosarcoma presenting with frontal bone mass: a case report	Brain neoplasms ;  Intracranial ;  Leiomyosarcoma
2139	Osteochondrosis dissecans in glenoid cavity of Korean War casualty’s scapula	Archaeology ;  Anthropology ;  Osteochondritis dissecans ;  Radiology
2140	Successful awake nasotracheal intubation using a fiberoptic bronchoscopy in a patient with impaired mouth opening due to temporomandiblar joint ankylosis	Airway management ;  Intubation ;  Temporomandibular joint ;  Ankylosis
2141	Endoscopic transnasal anterior clinoidectomy for optic canal unroofing in a patient with fibrous dysplasia of the sphenoid bone	Anterior clinoid ;  Clivus ;  Monostotic fibrous dysplasia ;  Neuroendoscopy
2142	설하신경 마비 단독으로 발현한 내경 동맥 박리 1예 = A Case of Internal Carotid Artery Dissection Presenting with Isolated Hypoglossal Nerve Palsy	Carotid artery-internal-dissection ;  Hypoglossal nerve diseases ;  Dissecting aneurysm
2143	시신경염이 동반된 Guillain-Barr 증후군 = Guillain-Barr Syndrome Accompanied by Optic Neuritis	Guillain-Barr syndrome ;  Optic neuritis ;  Demyelinating disease
2144	호흡 곤란을 유발한 미분화 갑상선암에서 기관 스텐트 삽입 1예 = A Case of Tracheal Stent Insertion in Airway Compromise Resulting from Anaplastic Thyroid Cancer	갑상선 ;  미분화암 ;  기관스텐트 ;  기도 폐쇄 ;  체외막산소화장치 ;  Thyroid gland ;  Anaplastic cancer ;  Tracheal stent ;  Air way obstruction ;  ECMO
2145	루푸스 지방층염에 대한 임상 및 피부병리조직학적 고찰 = Lupus Panniculitis: Clinico-histopathological Analysis of a Case Series	Systemic Lupus erythematosus ;  Lupus panniculitis
2146	성인의 담관 낭종 = Choledochal Cyst in Adulthood성인의 담관 낭종	Choledochal cyst ;  Anomalous pancreatobiliary ductal union
2147	만성 폐쇄성 폐질환 환자에서 장기간의 스테로이드 복용 중 발생한 중증 분선충 감염 1예 = A Case of Severe Strongyloidiasis in a Patient with Chronic Obstructive Pulmonary Disease Receiving Long-Term Steroid Therapy	Strongyloides stercoralis ;  Hyperinfection ;  Corticosteroid ;  Chronic Obstructive ;  Pulmonary Disease
2148	고지질단백혈증이 동반된 황색종에 대한 임상 및 혈청학적 연구 = Origin Article : Clinical and Serological Study in Xanthoma with Hyperlipoproteinemia고지질단백혈증이 동반된 황색종에 대한 임상 및 혈청학적 연구	Xanthoma ;  Hyperlipoproteinemia
2149	류마티스 관절염에서 항핵주변인자의 아형에 관한 연구 = The Isotype of Antiperinuclear Factor in Rheumatoid Arthritis	Antiperinuclear factor ;  Isotype ;  Clinical aspect ;  Disease activity
2150	선상 편평태선의 경구 스테로이드 치료 = Treatment of Linear Lichen Planus with Oral Methylprednisolone선상 편평태선의 경구 스테로이드 치료	Linear Lichen planus ;  Oral methylprednisolone ;  Systemic steroids treatment
2151	만성 육아종성 유방암 = Chronic Granulomatous Mastitis	Granulomatous mastitis ;  diagnosis ;  treatlment
2152	가족성 거대 백악종 = Familial gigantiform cementoma	Odontogenic Tumors ;  Cementoma
2153	전신성 광택태선에 대한 임상적 연구 = A Clinical Study of Generalized Lichen Nitidus전신성 광택태선에 대한 임상적 연구	Generalized Lichen nitidus ;  Narrow band UVB
2154	가족성 양성 만성 천포창의 병인에 있어 세균의 역할에 관한 연구 = A Study on the Role of Bacteria in the pathogenesis of Familial Benign chronic pemphigus가족성 양성 만성 천포창의 병인에 있어 세균의 역할에 관한 연구	Bacteria ;  Farnilial berign choronic pemphigus
2155	유방결핵 치험 보고 = Tuberculosis of Breast	Tuberculosos ;  Breast
2156	전내장역위증에서의 충수염 천공  :  a case report 치험1예 = Perforated Appendicitis in a patient with Situs Inversus Totalis	Appendicitis ;  Situs Inversus Totalis
2157	Trichomonas vaginalis Adhesion Protein 33  :  A Useful Target for Diagnosis of T. vaginalis	Trichomonas vaginalis ;  Adhesion protein 33 ;  Recombinant ;  ELISA
2158	A Case of constitutional Trismy 8 Mosaicism	Constituional trisomy 8 ;  Mosaicism ;  Agenesis of the corpus callosum.
2159	HBV 에 의한 후괴사성 간경화환자들에서 조영 심초음파도를 이용한 폐내 단락에 관한 연구 = The Study on Intrapulmonary Shunt with Contrast - enhanced Echocardiography in Postnecrotic Liver Cirrhosis by Hepatitis B Virus	hepatopulmonary syndrome ;  hypoxemia ;  intrapulmonary shunt contrast - enhanced echocardiography
2160	Case report : Gemcitabine-Induced Hemolytic Uremic Syndrome in Pancreatic Cancer: A Case Report and Review of the Literature = Case report : Gemcitabine-Induced Hemolytic Uremic Syndrome in Pancreatic Cancer: A Case Report and Review of the Literature	Hemolytic-uremic syndrome ;  Gemcitabine ;  Pancreatic neoplasms
2161	Case Reports : Three cases of amoebic Liver abscess causing inferior vena cava obstruction, with a review of the Literature = Case Reports : Three cases of amoebic Liver abscess causing inferior vena cava obstruction, with a review of the Literature	Liver abscess ;  Amoebiasis ;  Inferior vena cava ;  Obstruction
2162	일가족에 발생한 골화석증 = A Familial Osteopetrosis	Osteropetrosis ;  Autosomal dominant
2163	제3뇌실내 낭미충증 1례 = A Case of Third Ventricular Cysticercosis	Cysticercosis ;  Third ventricle
2164	궤양출혈로 발견된 중복 유문 1예 = A Case of Double Pylorus Presenting with Ulcer Bleeding	Double pylorus ;  Gastric ulcer ;  Ulcer bleeding
2165	혈관평활근종: 27예의 임상 및 병리조직학적 연구 = Angioleiomyoma: A Clinicopathological Study of 27 Cases혈관평활근종: 27예의 임상 및 병리조직학적 연구	Angioleiomyoma ;  Clinicopathological study
2166	악성흑색종에서 Ki-67과 Proliferating Cell Nuclear Antigen의 표현에 관한 연구 = IMMUNOHISTOCHEMICAL STUDY OF Ki-67 AND PROLIFERATING CELL NUCLEAR ANTIGEN EXPRESSION IN MALIGNANT MELANOMA	Ki-67 ;  Malignant melanoma ;  PCNA
2167	Idiopathic Spinal Cord Herniation as a Treatable Cause of Progressive Brown-Sequard Syndrome	Idiopathic spinal cord herniation ;  Brown-Sequard syndrome ;  Treatment ;  Surgery
2168	스테로이드와 Tamoxifen으로 후복막 섬유증 치험 = A Case of Recurred Retroperitoneal Fibrosis Treated by Combination Therapy of Steroids and Tamoxifen	Retroperitoneal fibrosis ;  Recurrence ;  Steroids ;  Tamoxifen
2169	Short Report : Acromegaloid Facial Appearance Syndrome with Generalized Hypertrichosis Terminalis = Short Report : Acromegaloid Facial Appearance Syndrome with Generalized Hypertrichosis Terminalis	Acromegaloid facial appearance syndrome ;  Hypertrichosis terminalis
2170	국소 Pimecrolimus로 치료한 형질세포 입술염 = A Case of Plasma Cell Cheilitis Treated with Topical Pimecrolimus	Pimecrolimus ;  Plasma cell cheilitis
2171	임신 말기의 쌍둥이 임신부에서 다발성장기부전증후군 및 심내막염을 유발한 리스테리아 감염증 = Third trimester Listeriosis in twin pregnant woman with multiple organ dysfunction syndrome and combined endocarditis A case report	리스테리아 ;  쌍둥이 임신 ;  임신 제 3 삼분기 ;  Listeria ;  Twin pregnancy ;  Trimester ;  third
2172	요붕증을 동반한 파종상 황색종 = A Case of Xanthoma Disseminatum with Diabetes Insipidus	Diabetes insipidus ;  Xanthoma disseminatum
2173	췌장암에 동반된 이차성 식도 식도이완불능증 = A Case of Pseudoachalasia Accompanied by Pancreatic Cancer	Achalasia ;  Pseudoachalasia ;  Pancreatic cancer
2174	한국인에서 Human T - cell Lymphotropic Virus Type 1 ( HTLV - 1 ) 에 대한 항체보유 = Prevalence of Antibodies to Human T - cell Lymphotropic Virus Type I ( HTLV - I ) among Koreans	Human T cell lymphotropic virus type I ( HTLV - I ) ;  Seroepidemiology
2175	췌장내분비종양의 임상 양상과 생존과 연관된 예후 인자 = Pancreatic Endocrine Tumors Clinical Manifestations and Predictive Factors Associated with Survival	췌장 내분비 종양 ;  생존 ;  예후 ;  Pancreatic neoplasm ;  Islet cell ;  Survival ;  Prognosis
2176	급성 신우신염에 합병된 신정맥 혈전증 = A Case of Acute Pyelonephritis Complicated with Renal Vein Thrombosis	Pyelonephritis ;  Renal vein ;  Thrombosis
2177	Case Report : A Case of Post-zoster Eosinophilic Dermatosis	Herpes zoster ;  Isotopic response ;  Post-zoster eosinophilic dermatosis
2178	Primary Pulmonary Leiomyosarcoma: Could It Be Cured by Radiation Therapy?	Leiomyosarcoma ;  Radiotherapy ;  Chemotherapy
2179	고탄산성 호흡 부전을 동반한 호산구성 다발성 근염 = A Case of Hypercapnic Respiratory Failure in a Patient with Eosinophilic Polymyositis	Eosinophilic polymyositis (EM) ;  Hypercapnic respiratory failure
2180	Wiskott-Aldrich 증후군 환자에서 발생한 감염성 관절염 = A Case of Septic Arthritis in Patient with Wiskott-Aldrich Syndrome	Wiskott-Aldrich syndrome ;  Infection ;  Septic arthritis
2181	Anti-myeloperoxidase antineutrophil cytoplasmic antibodies 양성의 급속진행성 사구체신염이 동반된 후복막 섬유증식증 = A Case of Idiopathic Retroperitoneal Fibrosis Associated with Rapidly Progressive Glomerulonephritis with Anti-myeloperoxidase Antineutrophil Cytoplasmic Antibodies	Retroperitoneal fibrosis ;  Glomerulonephritis ;  Antineutrophil cytoplasmic antibodies
2182	이하선으로 전이된 안검의 피지샘 암종 1예 = A Case of Parotid Metastasis from Sebaceous Carcinoma of the Eyelids	Sebaceous carcinoma ;  Parotid gland metastasis
2183	신생아의 Trichomonas vaginitis = A Case of Neonatal Trichomonas Vaginitis	Trichomonas vaginitis ;  Neonate ;  Trichomonas 질염 ;  신생아
2184	안면부에 국한하여 발생한 양성 대칭성 지방종증 = A Case of Benign Symmetric Lipomatosis Limited to the Face	Benign symmetric Lipomatosis ;  Face
2185	FCP 4 : A refractory case of pyoderma gangrenosum responding to infliximab = FCP 4 : A refractory case of pyoderma gangrenosum responding to infliximab	Pyoderma gangrenosum ;  Infliximab
2186	부인과 수술 기왕력이 없는 환자에서 발생한 샅굴 부위 자궁내막증 = A case of inguinal endometriosis in the absence of previous gynecologic surgery	샅굴 부위 자궁내막증 ;  샅굴 부위 종괴 ;  Inguinal endometriosis ;  Groin Lump
2187	전자 현미경과 면역 조직 검사에서 특징적인 소견을 보인 Collagenofibrotic Glomerulopathy = A Case of Collagenofibrotic Glomerulopathy with Characteristic Electron Microscopic and Immunohistochemistry Findings	Collagenofibrotic glomerulopathy ;  Type 3 collagen
2188	췌관과 연결된 췌장의 장액성 낭선종 = A Case of Serous Cystadenoma of the Pancreas Communicating with the Pancreatic Duct	Cystadenoma ;  serous ;  Pancreatic duct ;  Communication
2189	유아구성 자연살해세포 림프종(Blastoid NK-cell lymphoma) = A Case of Blastoid NK cell Lymphoma	Blatoid NK-cell lymphoma ;  CD56
2190	원발성 경화성 담도염에 의한 간이식 = A Case of Liver Transplantation for Primary Sclerosing Cholangitis	Cholangitis ;  sclerosing ;  Liver transplantation ;  Jaundice
2191	자발적 복강내 출혈로 사망한 P-ANCA 양성 소혈관염 = A Case of Death Due to Spontaneous Intraperitoneal Bleeding in P-ANCA Positive Small Vessel Vasculitis	P-ANCA small vessel vasculitis ;  Artery rupture
